Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20200301,7,,z
20200302,11,,z
20200303,13,,z
20200304,10,,z
20200305,20,,z
20200306,22,,z
20200307,10,13.2857142857143,""
20200308,11,13.8571428571429,""
20200309,18,14.8571428571429,""
20200310,30,17.2857142857143,""
20200311,29,20,""
20200312,25,20.7142857142857,""
20200313,25,21.1428571428571,""
20200314,22,22.8571428571429,""
20200315,16,23.5714285714286,""
20200316,33,25.7142857142857,""
20200317,44,27.7142857142857,""
20200318,43,29.7142857142857,""
20200319,42,32.1428571428571,""
20200320,73,39,""
20200321,63,44.8571428571429,""
20200322,52,50,""
20200323,96,59,""
20200324,96,66.4285714285714,""
20200325,125,78.1428571428571,""
20200326,155,94.2857142857143,""
20200327,150,105.285714285714,""
20200328,157,118.714285714286,""
20200329,136,130.714285714286,""
20200330,192,144.428571428571,""
20200331,184,157,""
20200401,214,169.714285714286,""
20200402,171,172,""
20200403,213,181,""
20200404,154,180.571428571429,""
20200405,161,184.142857142857,""
20200406,203,185.714285714286,""
20200407,171,183.857142857143,""
20200408,158,175.857142857143,""
20200409,130,170,""
20200410,119,156.571428571429,""
20200411,80,146,""
20200412,85,135.142857142857,""
20200413,104,121,""
20200414,102,111.142857142857,""
20200415,98,102.571428571429,""
20200416,99,98.1428571428571,""
20200417,110,96.8571428571429,""
20200418,74,96,""
20200419,59,92.2857142857143,""
20200420,65,86.7142857142857,""
20200421,70,82.1428571428571,""
20200422,66,77.5714285714286,""
20200423,68,73.1428571428571,""
20200424,91,70.4285714285714,""
20200425,42,65.8571428571429,""
20200426,39,63,""
20200427,77,64.7142857142857,""
20200428,73,65.1428571428571,""
20200429,49,62.7142857142857,""
20200430,57,61.1428571428571,""
20200501,56,56.1428571428571,""
20200502,47,56.8571428571429,""
20200503,40,57,""
20200504,52,53.4285714285714,""
20200505,40,48.7142857142857,""
20200506,46,48.2857142857143,""
20200507,37,45.4285714285714,""
20200508,33,42.1428571428571,""
20200509,21,38.4285714285714,""
20200510,28,36.7142857142857,""
20200511,33,34,""
20200512,38,33.7142857142857,""
20200513,28,31.1428571428571,""
20200514,29,30,""
20200515,34,30.1428571428571,""
20200516,19,29.8571428571429,""
20200517,10,27.2857142857143,""
20200518,28,26.5714285714286,""
20200519,15,23.2857142857143,""
20200520,19,22,""
20200521,15,20,""
20200522,17,17.5714285714286,""
20200523,14,16.8571428571429,""
20200524,9,16.7142857142857,""
20200525,15,14.8571428571429,""
20200526,15,14.8571428571429,""
20200527,12,13.8571428571429,""
20200528,6,12.5714285714286,""
20200529,11,11.7142857142857,""
20200530,4,10.2857142857143,""
20200531,11,10.5714285714286,""
20200601,6,9.28571428571429,""
20200602,5,7.85714285714286,""
20200603,9,7.42857142857143,""
20200604,9,7.85714285714286,""
20200605,10,7.71428571428571,""
20200606,7,8.14285714285714,""
20200607,7,7.57142857142857,""
20200608,4,7.28571428571429,""
20200609,10,8,""
20200610,8,7.85714285714286,""
20200611,7,7.57142857142857,""
20200612,4,6.71428571428571,""
20200613,7,6.71428571428571,""
20200614,8,6.85714285714286,""
20200615,12,8,""
20200616,6,7.42857142857143,""
20200617,7,7.28571428571429,""
20200618,6,7.14285714285714,""
20200619,5,7.28571428571429,""
20200620,2,6.57142857142857,""
20200621,2,5.71428571428571,""
20200622,10,5.42857142857143,""
20200623,6,5.42857142857143,""
20200624,6,5.28571428571429,""
20200625,3,4.85714285714286,""
20200626,1,4.28571428571429,""
20200627,4,4.57142857142857,""
20200628,5,5,""
20200629,5,4.28571428571429,""
20200630,3,3.85714285714286,""
20200701,2,3.28571428571429,""
20200702,2,3.14285714285714,""
20200703,2,3.28571428571429,""
20200704,4,3.28571428571429,""
20200705,3,3,""
20200706,4,2.85714285714286,""
20200707,2,2.71428571428571,""
20200708,3,2.85714285714286,""
20200709,1,2.71428571428571,""
20200710,3,2.85714285714286,""
20200711,4,2.85714285714286,""
20200712,1,2.57142857142857,""
20200713,1,2.14285714285714,""
20200714,3,2.28571428571429,""
20200715,1,2,""
20200716,4,2.42857142857143,""
20200717,2,2.28571428571429,""
20200718,1,1.85714285714286,""
20200719,2,2,""
20200720,2,2.14285714285714,""
20200721,2,2,""
20200722,2,2.14285714285714,""
20200723,6,2.42857142857143,""
20200724,1,2.28571428571429,""
20200725,5,2.85714285714286,""
20200726,1,2.71428571428571,""
20200727,6,3.28571428571429,""
20200728,,,z
20200729,3,,z
20200730,4,,z
20200731,5,,z
20200801,2,,z
20200802,2,,z
20200803,4,,z
20200804,6,3.71428571428571,""
20200805,7,4.28571428571429,""
20200806,2,4,""
20200807,4,3.85714285714286,""
